temperature,humidity,final_label
15.1067,21.0640,1
15.2627,22.8465,1
14.3171,23.1829,1
15.0447,24.0702,1
14.9941,25.9419,1
15.3078,27.4097,1
15.0231,30.0790,1
15.1636,28.2912,1
15.1291,30.5564,1
15.3075,31.3744,1
14.9353,33.1614,1
15.4279,33.6351,1
14.8501,35.8121,1
15.1863,36.4579,1
15.1445,38.8716,1
15.7496,38.1181,1
14.8207,40.1063,1
15.2156,41.8548,1
14.9601,42.4374,1
14.7114,43.7791,1
15.2601,46.0372,1
14.7671,45.7573,1
15.0408,48.1000,1
15.3050,48.1045,1
15.2376,50.3189,2
15.1012,50.8262,2
14.4900,52.3252,2
14.8354,52.0379,2
14.9037,56.3132,2
14.6970,55.8392,2
14.4110,57.0212,2
15.0570,57.8502,2
15.2489,60.3914,2
14.8779,59.2613,2
15.3003,61.8601,2
14.5535,61.0123,2
14.6782,64.8345,2
15.0498,65.0085,2
14.8505,66.8846,2
15.2190,66.4635,2
15.1599,68.5010,2
14.8729,68.7532,2
14.5815,71.8899,3
14.8357,71.4629,3
15.1683,74.2083,3
15.2329,73.7178,3
14.8518,76.0895,3
14.4094,74.8589,3
14.5371,77.6186,3
15.1399,77.7012,3
14.8676,82.0403,3
14.8753,81.5347,3
14.6732,83.0409,3
14.6675,82.9207,3
15.2941,84.0261,3
15.1520,85.7946,3
14.7920,86.6340,3
15.0252,87.4589,3
15.0814,90.3100,3
15.5606,90.0749,3
14.6418,92.8065,3
15.0770,93.8684,3
15.2923,95.3212,3
15.5122,93.9301,3
15.6279,21.1661,1
15.7154,20.7610,1
16.0742,24.1548,1
15.3371,23.4408,1
15.9616,27.4640,1
16.5507,29.3322,1
15.9969,28.1739,1
15.1056,29.3055,1
15.5673,31.0455,1
15.6376,31.2926,1
16.2249,33.9155,1
15.7963,32.8421,1
15.2657,35.6914,1
15.8330,37.7202,1
15.8974,39.3683,1
15.6771,37.4174,1
15.5141,40.1860,1
16.5968,40.0995,1
16.1453,42.3809,1
16.1779,43.5400,1
15.7970,45.5117,1
15.6227,45.9499,1
15.6926,46.8002,1
15.4046,48.0586,1
16.4045,50.4021,2
15.8103,50.5153,2
16.3090,52.8103,2
15.7080,53.6086,2
16.0019,56.3499,2
15.9160,53.8657,2
15.3730,58.8084,2
16.4551,57.1610,2
15.7177,60.9927,2
15.4644,58.8722,2
